153N,153T,33N,33T,547N,547T,553N,553T,442N,442T,552N,552T,55N,55T,654N,654T,463N,463T,453N,453T,47N,47T,448N,448T,199N,199T,663N,663T,68N,68T,191N,191T,62N,62T,662N,662T,656N,656T,566N,566T,528N,528T,664N,664T,189N,189T,652N,652T,652T,673N,673N,673T,673T,678N,678T,682N,682T,685N,685T,686N,686T,692N,692T,694N,694T,699N,699T,701N,701T,702N,702T,706N,706T,709N,709T,711N,711T,712N,712T,715N,715T,717N,717T,719N,719T,721N,721T,724N,724T,726N,726T,727N,727T,38N,38T,45N,45T,96N,96T,117N,117T,156N,156T
0.8695652,0.375,0.9230769,0,0.962963,0.6956522,0.92,0.7391304,0.9130435,0.68,0.9565217,0.8076923,0.9583333,0.75,0.8846154,0.8333333,0.8076923,0.8461539,0.9615384,0.8260869,1,0.7916667,1,0.72,1,0.9166667,,,0.7307692,0.8846154,0.9583333,0.952381,1,0.7407407,,,0.92,0.96,,0.9565217,0.9615384,0.9615384,0.8888889,,0.9130435,0.8518519,0.9615384,,0.9166667,,0.9583333,,0.9545454,,0.9259259,0.8333333,0.9583333,0.9583333,0.9583333,0.9259259,0.962963,,0.9166667,,0.962963,0.875,0.9130435,,0.7826087,0.8148148,0.88,,0.96,1,0.75,0.9166667,0.9583333,0.8076923,0.7692308,,0.962963,0.875,0.4782609,,0.9615384,0.92,0.8,,0.9166667,,,,0.8846154,,0.88,,0.681818,,0.842105,,0.88,,0.8
0.96,0.5652174,0.6666667,0.04347826,0.8846154,0.3333333,0.7727273,0.6,1,0.875,0.9130435,0.6956522,0.8148148,0.9130435,0.8518519,0.9565217,0.9583333,0.8095238,0.96,0.6956522,,,0.96,,1,0.88,,,0.8846154,0.9230769,0.9166667,,0.92,0.88,,,1,0.9166667,,0.88,0.75,0.9615384,0.9259259,,0.8695652,0.9130435,,,0.9642857,,0.8823529,,,,0.88,,0.875,0.96,0.8518519,1,0.9259259,,0.6,,1,0.6666667,0.9583333,,0.9230769,0.9583333,0.5882353,,1,1,0.7307692,0.9166667,0.9130435,0.88,0.76,,0.9166667,0.8333333,0.9583333,,0.962963,0.875,1,,0.9166667,,,,0.8076923,,0.956522,,0.818182,,0.913043,,1,,0.76
1,0.6538461,0.88,0,0.75,0.1666667,0.9130435,0.5,1,0.84,1,0.7916667,0.9,0.6956522,,,,,,,,,,,0.7826087,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,0.875,0.7083333,0.92,0.9583333,0.96,,0.88,,0.9583333,0.7826087,0.9565217,,0.9130435,0.8888889,0.9130435,,0.88,0.8333333,0.9166667,,0.8148148,0.9615384,0.5416667,,0.9166667,,0.962963,,0.84,,0.9166667,,0.96,,,,0.6956522,,0.846154,,0.846154,,0.791667,,0.96,,0.954545
0.8518519,0.7391304,0.8888889,0.09090909,0.9565217,0.6153846,0.9130435,0.76,0.84,0.875,0.9583333,0.7826087,0.9565217,0.7727273,,,,,,,,,,,0.9565217,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8333333,,1,0.7407407,0.9615384,0.875,0.9230769,,0.7916667,,0.9130435,0.8888889,0.8695652,,0.88,0.625,0.9166667,,0.8461539,0.875,0.8695652,,0.9166667,0.7777778,0.7307692,,0.7692308,,0.962963,,0.9166667,,0.9583333,,0.96,,,,,,1,,0.583333,,0.869565,,0.96,,0.807692
0.9090909,0.8695652,0.8846154,0.6666667,0.8518519,0.75,0.9166667,0.9565217,0.8333333,0.72,0.875,0.875,0.8695652,0.9130435,,,,,,,,,,,1,0.7826087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9166667,0.8888889,1,0.875,0.9615384,,,,0.875,0.8888889,0.92,,0.9090909,0.72,0.7727273,,0.88,0.9166667,0.9166667,,0.8695652,0.962963,0.84,,0.76,,0.875,,,,0.84,,0.875,,,,,,0.961538,,,,0.888889,,0.956522,,0.75
0.9166667,0.76,0.7916667,0.625,0.962963,0.6666667,0.9166667,0.875,0.7407407,0.8695652,0.8571429,0.96,,0.8333333,,,,,,,,,,,0.9565217,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9583333,0.75,0.8333333,,0.9615384,,,,0.9166667,0.7391304,0.7826087,,0.9259259,0.72,0.9259259,,,0.8333333,1,,1,0.75,0.8076923,,,,0.7826087,,,,0.875,,,,,,,,,,,,0.791667,,1,,
1,0.875,0.9583333,0.04545455,0.9259259,0.875,0.875,0.84,0.8260869,0.8636364,0.9545454,0.8181818,,0.7619048,,,,,,,,,,,0.9545454,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.962963,,0.8333333,,0.76,,,,,,0.8518519,,0.875,,0.875,,,,1,,0.7916667,,0.88,,,,0.8260869,,,,,,,,,,,,,,,,,,,,
1,0.8333333,,0,0.9615384,0.7916667,1,1,0.92,0.8695652,0.7916667,0.9230769,,0.875,,,,,,,,,,,0.8518519,0.7307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,,0.9583333,,0.84,,,,,,1,,0.7916667,,0.8148148,,,,0.76,,0.875,,0.7826087,,,,0.962963,,,,,,,,,,,,,,,,,,,,
,0.8333333,,0.5,,0.8333333,,0.7083333,0.9259259,0.8695652,,0.6666667,,0.7037037,,,,,,,,,,,,0.7692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,0.8461539,,,,,,0.92,,,,0.75,,,,0.9166667,,0.8260869,,0.8260869,,,,,,,,,,,,,,,,,,,,,,,,
,0.9166667,,0.75,,0.9166667,,0.9565217,1,0.8636364,,0.8636364,,,,,,,,,,,,,,0.6153846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8333333,,0.8888889,,,,,,1,,,,0.8636364,,,,0.9130435,,,,0.8461539,,,,,,,,,,,,,,,,,,,,,,,,
