Case.number	Type	SST1.RDL
734	Tumor	0.933572638261024
735	Normal	1.08406426478847
735	Tumor	1.44360665147561
736	Normal	0.53605290024021
736	Tumor	-0.473931188332412
737	Normal	1.81557542886257
737	Tumor	1.19534759832222
738	Normal	0.970853654340484
738	Tumor	-0.184424571137427
739	Normal	1.72683121703249
739	Tumor	3.65535182861255
740	Normal	2.66220549965362
740	Tumor	2.8011586560937
741	Normal	-1.39592867633114
741	Tumor	-1.78587519464715
744	Normal	1.01435529297707
744	Tumor	1.20789285164133
745	Normal	-0.713118852211838
745	Tumor	-2.39592867633114
757	Normal	1.83592407425437
757	Tumor	-0.666576266274808
758	Normal	-0.494109070270043
758	Tumor	-0.785875194647153
762	Normal	0.0426443374084937
762	Tumor	-0.0144995696951151
766	Normal	2.17951105027151
766	Tumor	2.72683121703249
774	Normal	1.31614574229336
774	Tumor	1.0703893278914
775	Normal	0.659924558402378
775	Tumor	0.933572638261024
776	Normal	-0.943416471633633
776	Tumor	-3.32192809488736
779	Normal	1.01435529297707
779	Tumor	1.01435529297707
780	Normal	1.54101915313356
780	Tumor	1.59454854955035
790	Normal	1.60880924267552
790	Tumor	1.81147103052984
791	Normal	1.11103131238874
791	Tumor	0.622930350920177
793	Normal	2.49569516262407
793	Tumor	2.46205231879643
796	Normal	4.46727948045998
796	Tumor	1.74846123300404
797	Normal	-1.12029423371771
797	Tumor	-1.59946207041627
798	Normal	0.16349873228288
798	Tumor	-0.200912693925996
800	Normal	0.565597175854225
800	Tumor	0.765534746362977
801	Normal	-0.0291463456595165
801	Tumor	0
804	Normal	NA
804	Tumor	-0.358453970912476
828	Normal	0.475084882948783
828	Tumor	-0.217591435072627
829	Normal	0.356143810225275
829	Tumor	0.485426827170242
830	Normal	0.150559676575381
830	Tumor	-0.3040061868901
831	Normal	0.37851162325373
831	Tumor	-0.0892673380970874
832	Normal	0.823749360308273
832	Tumor	1.13093086982645
816	Normal	0.6959938131099
816	Tumor	0.895302621333307
819	Normal	0.575312330687437
819	Tumor	0.887525270741587
820	Normal	2.35895882583233
820	Tumor	2.93545974780529
836	Normal	2.1407786557828
836	Tumor	2.6507645591169
844	Normal	2.29572302453997
844	Tumor	NA
847	Normal	1.41142624572647
847	Tumor	1.43295940727611
850	Normal	1.61353165291793
850	Tumor	-0.0291463456595165
852	Normal	1.72683121703249
852	Tumor	2.81762325751143
854	Normal	1.84799690655495
854	Tumor	2.26002565596146
855	Normal	1.26903314645524
855	Tumor	1.0071955014042
856	Normal	0.887525270741587
856	Tumor	1.95977015521147
857	Normal	1.35614381022528
857	Tumor	1.11769504266975
858	Normal	0.150559676575381
858	Tumor	-0.888968687611256
859	Normal	1.31614574229336
859	Tumor	1.44890095114513
860	Normal	2.09761079662642
860	Tumor	2.45680614923047
